address_id,id,name
1,1,syndicate cutting-edge architectures College
2,2,utilize revolutionary convergence College
3,3,optimize turn-key e-tailers College
4,4,redefine user-centric communities University
5,5,expedite frictionless relationships College
6,6,expedite wireless eyeballs College
7,7,repurpose enterprise applications University
8,8,implement scalable solutions University
9,9,recontextualize integrated networks College
10,10,drive enterprise users University
11,11,deliver magnetic mindshare College
12,12,target impactful experiences College
13,13,architect killer mindshare University
14,14,monetize leading-edge interfaces College
15,15,leverage web-enabled technologies University
16,16,incubate wireless action-items University
17,17,incubate compelling supply-chains College
18,18,synergize one-to-one e-services College
19,19,empower compelling e-markets College
20,20,productize cutting-edge supply-chains University
21,21,reinvent customized markets University
22,22,integrate distributed deliverables College
23,23,innovate bricks-and-clicks paradigms University
24,24,synergize collaborative e-markets University
25,25,exploit e-business infomediaries College
